model_a,effort_a,model_b,effort_b,current_iq_a,current_iq_b,current_delta_iq,abs_delta_iq,shared_tasks,bootstrap_mean_delta,bootstrap_p05,bootstrap_p10,bootstrap_p25,bootstrap_p50,bootstrap_p75,bootstrap_p90,bootstrap_p95,prob_a_gt_b,prob_b_gt_a,ci90_contains_zero,ci95_contains_zero,weight_mode,weight_status
gpt-6-astra,low,gpt-6-astra,medium,98.16,106.49,-8.329999999999998,8.329999999999998,111,-4.756216216216291,-13.288288288288264,-11.261261261261273,-8.108108108108143,-4.729729729729732,-1.3513513513513542,1.8018018018017945,3.8288288288288177,0.1718,0.8202,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-6-astra,high,98.16,108.2,-10.040000000000006,10.040000000000006,111,-7.054391891891964,-15.315315315315303,-13.513513513513509,-10.360360360360376,-6.981981981981983,-3.6036036036036223,-0.6756756756756688,1.126126126126109,0.0762,0.92,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-6-astra,xhigh,98.16,107.29,-9.13000000000001,9.13000000000001,111,-1.452972972972959,-11.036036036036029,-8.783783783783777,-5.4054054054054,-1.576576576576566,2.47747747747748,6.081081081081069,8.108108108108109,0.3881,0.5997,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-6-astra,max,98.16,105.43,-7.27000000000001,7.27000000000001,111,0.6154054054054278,-9.234234234234235,-6.981981981981983,-3.378378378378377,0.6756756756756688,4.729729729729698,8.108108108108109,10.36036036036036,0.5349,0.4506,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-6-astra,ultra,98.16,108.33,-10.170000000000002,10.170000000000002,111,-1.8115540540540573,-10.585585585585605,-8.783783783783777,-5.4054054054054,-1.8018018018018112,1.8018018018017945,5.180180180180171,7.207207207207195,0.3594,0.6298,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-5.6-sol,low,98.16,81.7,16.459999999999994,16.459999999999994,111,21.752567567567777,10.135135135135148,12.837837837837839,16.89189189189195,21.846846846846844,26.576576576576592,30.630630630630655,33.108108108108134,0.9987,0.0013,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-5.6-sol,medium,98.16,95.54,2.6199999999999903,2.6199999999999903,111,7.320135135135076,-4.0540540540540135,-1.576576576576566,2.702702702702725,7.432432432432407,11.936936936936943,15.990990990991005,18.46846846846847,0.8553,0.1429,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-5.6-sol,high,98.16,96.88,1.2800000000000011,1.2800000000000011,111,5.528018018018012,-4.95495495495496,-2.702702702702658,1.3513513513513375,5.630630630630612,9.684684684684692,13.513513513513525,15.990990990990973,0.8056,0.1911,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-5.6-sol,xhigh,98.16,99.11,-0.9500000000000028,0.9500000000000028,111,3.756351351351347,-6.081081081081086,-4.0540540540540455,-0.45045045045042365,3.8288288288288177,7.882882882882863,11.486486486486502,13.738738738738704,0.7304,0.2653,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-5.6-sol,max,98.16,107.14,-8.980000000000004,8.980000000000004,111,-4.798243243243341,-15.090090090090092,-12.837837837837823,-9.00900900900899,-4.729729729729732,-0.6756756756756521,3.1531531531531654,5.4054054054054,0.2152,0.7789,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-5.6-sol,ultra,98.16,100.89,-2.730000000000004,2.730000000000004,111,1.9650450450450436,-8.108108108108091,-5.8558558558558405,-2.0270270270270396,2.0270270270270565,5.855855855855907,9.459459459459495,11.71171171171173,0.6336,0.3612,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-5.6-terra,low,98.16,51.34,46.81999999999999,46.81999999999999,111,52.320900900900774,39.86486486486486,42.56756756756758,47.5225225225225,52.47747747747746,57.43243243243242,61.936936936936924,64.63963963963964,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-5.6-terra,medium,98.16,58.48,39.68,39.68,111,45.110090090090026,32.88288288288286,35.585585585585584,40.3153153153153,45.27027027027025,50.00000000000002,54.5045045045045,57.20720720720722,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-5.6-terra,high,98.16,77.68,20.47999999999999,20.47999999999999,111,24.853513513513622,13.738738738738753,15.990990990991005,20.270270270270263,24.99999999999998,29.504504504504506,33.55855855855856,36.26126126126123,0.9999,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-5.6-terra,xhigh,98.16,87.95,10.209999999999994,10.209999999999994,111,14.52454954954952,4.0540540540540455,6.306306306306329,10.135135135135165,14.41441441441444,18.918918918918926,22.747747747747795,25.00000000000001,0.9893,0.0103,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-5.6-terra,max,98.16,101.34,-3.180000000000007,3.180000000000007,111,1.434234234234227,-9.009009009009022,-6.756756756756754,-2.927927927927904,1.3513513513513542,5.630630630630662,9.684684684684674,12.162162162162138,0.5848,0.4107,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,low,gpt-5.6-terra,ultra,98.16,99.11,-0.9500000000000028,0.9500000000000028,111,3.2635135135134887,-6.5315315315315425,-4.279279279279291,-0.6756756756757021,3.1531531531531654,7.432432432432394,11.036036036036029,13.06306306306302,0.7072,0.288,true,true,unweighted,site_task_weight_not_confirmed
