model,effort,mode,plan,iq,cost,minutes,family_capacity_20x,plan_capacity,weekly_share,eligible_gate_015,eligible_gate_020,eligible_gate_025,eligible_gate_030,eligible_gate_040,eligible_gate_050,eligible_gate_060,eligible_gate_080,fast_ratio,quota_status
gpt-6-astra,ultra,Fast,Pro5,108.33,25.502,13.942188354359372,1847,461.75,0.05522902003248511,true,true,true,true,true,true,true,true,1.0199259713453637,available
gpt-6-astra,ultra,Fast,Pro20,108.33,25.502,13.942188354359372,1847,1847,0.013807255008121277,true,true,true,true,true,true,true,true,1.0199259713453637,available
gpt-5.6-sol,low,Standard,Plus,81.7,1.587333,10.39,1919.83,95.9915,0.01653618289119349,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,low,Standard,Pro5,81.7,1.587333,10.39,1919.83,479.9575,0.0033072365782386985,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,low,Standard,Pro20,81.7,1.587333,10.39,1919.83,1919.83,0.0008268091445596746,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,low,Fast,Plus,81.7,3.9683325000000003,7.546094247245459,1919.83,95.9915,0.041340457227983726,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,low,Fast,Pro5,81.7,3.9683325000000003,7.546094247245459,1919.83,479.9575,0.008268091445596747,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,low,Fast,Pro20,81.7,3.9683325000000003,7.546094247245459,1919.83,1919.83,0.0020670228613991867,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,medium,Standard,Plus,95.54,2.924051,16.08,1919.83,95.9915,0.03046156170077559,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,medium,Standard,Pro5,95.54,2.924051,16.08,1919.83,479.9575,0.006092312340155118,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,medium,Standard,Pro20,95.54,2.924051,16.08,1919.83,1919.83,0.0015230780850387796,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,medium,Fast,Plus,95.54,7.3101275,11.678652117007406,1919.83,95.9915,0.07615390425193898,true,true,true,true,true,true,true,true,1.3768712210018645,available
